序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,低位 2026.04.30,主力净额(元) 2026.04.30,成交量环比增长率 2026.04.30,ST股票,退市股(退市整理期),流通市值(元) 2026.04.30,个股题材,成交量(股) 2026.04.29,成交量(股) 2026.04.30,东财行业总分类,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30
1,002400,省广集团,SZ,8.96,5.66,符合,2.13亿,133.08,否,否,154.66亿,网红直播、抖音豆包、广东自贸、区块链、字节概念、体育产业、AIGC概念、文化传媒、区域经济、快手概念、短剧概念、AI营销、数据中心、小红书概念、创投、腾讯概念、谷歌概念、AI应用、腾讯云、腾讯元宝、人工智能、阿里巴巴概念、大数据、云计算,6665.11万,1.55亿,传媒-广告营销-营销代理,0.480,9.18,8.41,9.00,1.88,13.70亿,255.09,3.1168,156.20亿
2,300045,华力创通,SZ,22.36,3.95,符合,5333.14万,66.48,否,否,115.45亿,国产芯片、北斗导航、火箭发射、安防、智能无人机、军工装备、华为Mate、元宇宙概念、深空经济概念、华为概念、军民融合、创投、人工智能、无人驾驶、卫星互联网、成飞概念、低轨卫星、军工、军工信息化、数字孪生、大飞机、6G概念、低空经济、spacex、卫星通信、天基互联、无人机、商业航天、网络安全、国产替代、华为鸿蒙、nasa、卫星导航、航天概念、智能驾驶、VR&AR、空间站概念,1311.14万,2182.74万,国防军工-军工电子Ⅱ-军工电子Ⅲ,0.850,22.50,21.41,4.23,1.22,4.83亿,-309.81,9.7674,148.17亿
3,001233,海安集团,SZ,60.63,1.88,符合,4113.85万,141.08,否,否,21.45亿,海峡两岸,219.03万,528.05万,汽车-汽车零部件-轮胎轮毂,1.120,62.95,55.50,14.92,2.79,3.15亿,53.06,2.3904,112.76亿
4,600651,飞乐音响,SH,6.89,4.24,符合,3664.67万,121.09,否,否,172.73亿,国产芯片、小米汽车、DeepSeek概念、阶跃星辰、区域经济、LED、上海自贸,1759.61万,3890.39万,汽车-汽车零部件-汽车电子电气系统,0.280,6.99,6.63,1.55,2.33,2.66亿,684.42,6.8469,172.73亿
5,002249,大洋电机,SZ,9.38,2.96,符合,3546.86万,107.33,否,否,174.61亿,军工、广东自贸、稀土永磁、燃料电池、外骨骼机器人、新能源车、区域经济、电机、数据中心、氢能源、人形机器人、航天概念、独角兽、充电、机器人概念、充电运营、众擎,3303.46万,6849.04万,电力设备-电机Ⅱ-电机Ⅲ,0.270,9.53,9.24,3.68,2.01,6.44亿,19.34,2.2792,231.25亿
6,300377,赢时胜,SZ,16.99,1.37,符合,3310.00万,60.37,否,否,117.39亿,粤港澳大湾区、广东自贸、区块链、数字货币、ai应用、区域经济、深圳特区、AI智能体、华为概念、英伟达概念、国产软件、信创、Web3.0、互联网金融、华为昇腾、manus、AI应用、DeepSeek概念、腾讯云、人工智能、国产操作系统、稳定币概念,1775.80万,2847.83万,计算机-软件开发-垂直应用软件,0.230,17.62,16.65,4.12,1.47,4.88亿,-36.38,5.3030,127.60亿
7,002052,同洲电子,SZ,10.09,6.21,符合,3218.27万,380.38,否,否,69.56亿,锂电池、广电概念、广东自贸、锂动力电池、国产软件、供给侧改革、家电行业、国产操作系统、区域经济、物联网、深圳特区、储能,975.53万,4686.21万,家用电器-黑色家电-其他黑色家电,0.590,10.17,8.90,6.80,3.49,4.41亿,292.63,27.2558,75.92亿
8,301008,宏昌科技,SZ,31.69,3.22,符合,2352.58万,76.53,否,否,36.71亿,张雪机车概念、供给侧改革、外骨骼机器人、家电行业、人形机器人、传感器、减速器,351.62万,620.73万,家用电器-家电零部件Ⅱ-家电零部件Ⅲ,0.990,31.85,30.41,5.36,1.19,1.95亿,722.44,2.7499,41.50亿
9,688698,伟创电气,SH,68.24,3.82,符合,2201.69万,78.69,否,否,146.05亿,PLC概念、华为轴承、海工装备、科创板成分股、宇树机器人、华为机器人、灵巧手、磁悬浮压缩机、ChatGPT概念、设备制造、AI智能体、同步磁阻电机、智元机器人、人形机器人、太阳能、越疆机器人、特斯拉机器人、人工智能、减速器、机器人概念,299.39万,534.98万,机械设备-自动化设备-工控设备,2.510,69.00,65.30,2.50,1.28,3.62亿,75.59,6.1008,146.05亿
10,603567,珍宝岛,SH,7.08,6.15,符合,2064.84万,191.43,否,否,66.51亿,流感、医疗健康、双黄连、创新药、口罩、传统中药,1568.94万,4572.38万,医药生物-中药Ⅱ-中药Ⅲ,0.410,7.28,6.55,4.87,3.37,3.21亿,-9.25,1.0918,66.61亿
11,002779,中坚科技,SZ,80.05,5.82,符合,1890.05万,351.83,否,否,132.73亿,极目、华为轴承、外骨骼机器人、华为机器人、宇树机器人、灵巧手、AI智能体、华为概念、英伟达概念、智元机器人、发电机概念、人形机器人、机器人概念,193.75万,875.42万,机械设备-专用设备-其他专用设备,4.400,82.46,75.23,5.28,5.31,6.95亿,129.09,15.7274,147.93亿
12,300872,天阳科技,SZ,16.51,4.69,符合,1882.32万,103.46,否,否,69.68亿,多元金融、区块链、多模态AI、西部大开发、数字经济、ai应用、AI智能体、华为概念、华为昇腾、信创、DeepSeek概念、人工智能、国产操作系统、机器人概念、稳定币概念、Sora概念、数据要素、云计算、智慧政务、数字货币、算力概念、西藏概念、区域经济、创业板注册制、数据要素概念、国产替代、华为鸿蒙、国产软件、软件服务、阿里巴巴概念、rwa、跨境支付、大数据、RDA概念股,758.78万,1543.81万,计算机-IT服务Ⅱ-IT服务Ⅲ,0.740,16.78,15.76,3.66,1.64,2.52亿,267.18,2.1702,80.59亿
13,000797,中国武夷,SZ,2.90,3.94,符合,1825.98万,74.52,否,否,45.54亿,跨境电商、物业管理、供给侧改革、一带一路、精准医疗、装配建筑、医疗健康、海峡两岸、区域经济、房地产开发、福建海丝核心、房地产供改,2768.93万,4832.44万,房地产-房地产开发-住宅开发,0.110,2.91,2.78,3.08,1.96,1.39亿,-11.82,0.9838,45.55亿
14,300595,欧普康视,SZ,14.42,0.91,符合,1764.08万,74.60,否,否,96.40亿,流感、人脑工程、内循环、医疗健康、人工智能、医疗美容、健康中国、眼科、医疗器械、AI医疗,1054.23万,1840.68万,医药生物-医疗器械-医疗耗材,0.130,15.18,14.40,2.75,1.42,2.71亿,22.08,2.5512,129.10亿
15,600125,铁龙物流,SH,6.14,1.32,符合,1714.01万,90.39,否,否,80.16亿,东北振兴、区域经济、物流行业、北莫走廊、碳交易、农村电商、东盟自贸区概念、一带一路、中俄贸易概念、统一大市场、高铁、仓储物流、冷链物流、快递概念,1351.42万,2572.99万,交通运输-铁路公路-铁路运输,0.080,6.20,6.09,1.97,1.60,1.58亿,9.26,1.0226,80.16亿
16,600742,富维股份,SH,9.42,0.11,符合,1522.52万,50.61,否,否,70.00亿,低空经济、汽车整车、小米汽车、东北振兴、新能源车、汽车零部件、智能座舱、区域经济、并购重组、传感器、机器人概念、小米概念,528.13万,795.43万,汽车-汽车零部件-车身附件及饰件,0.010,9.45,9.36,1.07,0.76,7480.86万,21.34,0.8207,70.00亿
17,002896,中大力德,SZ,70.28,2.88,符合,1521.57万,72.71,否,否,138.12亿,外骨骼机器人、工业机器人、宇树机器人、华为机器人、灵巧手、ChatGPT概念、AI智能体、小米机器人、华为概念、智元机器人、机器人代工、华为鸿蒙、人形机器人、人工智能、新质生产力、减速器、机器人执行器、齿轮、机器人概念、大数据、众擎,291.27万,503.05万,机械设备-通用设备-金属制品,1.970,70.74,68.13,2.56,1.32,3.52亿,312.14,11.4637,138.12亿
18,605288,凯迪股份,SH,83.00,3.49,符合,1487.34万,51.41,否,否,58.27亿,智能家居、新能源车、物联网、光伏、机器人概念、养老概念、进口博览会,138.97万,210.42万,机械设备-自动化设备-工控设备,2.800,83.38,79.27,3.00,2.04,1.72亿,-170.70,2.6199,58.66亿
19,688776,国光电气,SH,80.96,3.49,符合,1460.00万,91.79,否,否,87.75亿,军工、军工信息化、深海经济、火箭发射、6G概念、科创板成分股、军工装备、量子计算、商业航天、军民融合、超导概念、超聚变概念、可控核聚变、卫星导航、核电概念、人造太阳、卫星互联网、低轨卫星,153.73万,294.82万,国防军工-军工电子Ⅱ-军工电子Ⅲ,2.730,82.38,75.88,2.72,1.77,2.37亿,-54.67,5.1392,87.75亿
20,920139,华岭股份,BJ,17.95,3.76,符合,1395.52万,77.84,否,否,46.65亿,国产芯片、中芯概念、半导体、关税豁免、先进封装,342.41万,608.95万,电子-半导体-集成电路封测,0.650,18.49,17.13,2.34,1.34,1.08亿,-95.49,4.6918,48.38亿
21,603232,格尔软件,SH,18.65,2.87,符合,1289.56万,98.57,否,否,43.14亿,区块链、智能无人机、车联网(车路云)、军工装备、ai应用、量子计算、AI智能体、华为概念、信创、国产操作系统、稳定币概念、军工、数据安全、智慧政务、数字货币、无人机、智慧城市、网络安全、数据要素概念、华为鸿蒙、国产软件、Web3.0、软件服务、电子身份证、汽车芯片、大数据、RDA概念股,447.10万,887.80万,计算机-软件开发-垂直应用软件,0.520,19.09,18.08,3.84,1.32,1.66亿,-38.22,3.3565,43.66亿
22,002609,捷顺科技,SZ,8.60,3.99,符合,1127.02万,170.88,否,否,39.46亿,广东自贸、粤港澳大湾区、车联网(车路云)、数字哨兵、区域经济、智慧城市、深圳特区、Kimi智能助手、华为概念、华为鸿蒙、分拆预期、智能驾驶、DeepSeek概念、人工智能、智能交通、充电、物联网、rwa、大数据、稳定币概念、RDA概念股、储能、数据要素、阿里芯片（平头哥）,767.61万,2079.27万,计算机-IT服务Ⅱ-IT服务Ⅲ,0.330,8.77,8.35,4.53,2.08,1.79亿,748.58,2.3058,55.34亿
23,300094,国联水产,SZ,3.17,4.97,符合,1122.77万,114.02,否,否,35.04亿,网红直播、广东自贸、深海经济、食品饮料、大消费、RCEP概念、社区团购、区域经济、预制菜概念、小红书概念、电商概念、关税、电子商务概念、新零售、无人零售、水产,3632.81万,7774.88万,农林牧渔-渔业-水产养殖,0.150,3.24,3.11,7.03,2.68,2.48亿,206.78,37.6412,35.76亿
24,000796,凯撒旅业,SZ,5.21,1.36,符合,1024.82万,50.80,否,否,69.33亿,深海经济、西北经济区、大消费、一带一路、海南自贸、免税店、免税概念、体育产业、旅游酒店、稳定币概念、旅游,3610.56万,5444.85万,社会服务-旅游及景区-旅游综合,0.070,5.30,5.11,4.09,1.56,2.83亿,745.35,9.1991,83.56亿
